"id","youth","ethnicity","village","item","item_name","item_index","y"
"25452",2,2,"Mankanza",62,"cash_sm",5,3
"25452",2,2,"Mankanza",20,"honey_sm",9,3
"25452",2,2,"Mankanza",19,"biscuit_sm",17,3
"25452",2,2,"Mankanza",51,"honey_lg",10,3
"25452",2,2,"Mankanza",48,"mangbele_sm",7,3
"25452",2,2,"Mankanza",65,"cube_sm",15,2
"10419",2,2,"Mankanza",68,"bread_sm",1,3
"10419",2,2,"Mankanza",10,"fish_sm",13,2
"10419",2,2,"Mankanza",57,"biscuit_lg",18,1
"10419",2,2,"Mankanza",51,"honey_lg",10,1
"10419",2,2,"Mankanza",65,"cube_sm",15,3
"10419",2,2,"Mankanza",53,"duiker_sm",11,2
"10419",2,2,"Mankanza",60,"sardines_lg",4,1
"10419",2,2,"Mankanza",49,"mangbele_lg",8,1
"10419",2,2,"Mankanza",59,"sardines_sm",3,3
"10419",2,2,"Mankanza",63,"cash_lg",6,2
"10419",2,2,"Mankanza",48,"mangbele_sm",7,3
"10419",2,2,"Mankanza",69,"bread_lg",2,1
"10419",2,2,"Mankanza",55,"fish_lg",14,1
"10419",2,2,"Mankanza",19,"biscuit_sm",17,3
"10419",2,2,"Mankanza",54,"duiker_lg",12,2
"10419",2,2,"Mankanza",62,"cash_sm",5,3
"10419",2,2,"Mankanza",66,"cube_lg",16,1
"10419",2,2,"Mankanza",20,"honey_sm",9,2
"17524",2,2,"Mankanza",68,"bread_sm",1,3
"17524",2,2,"Mankanza",10,"fish_sm",13,1
"17524",2,2,"Mankanza",20,"honey_sm",9,1
"17524",2,2,"Mankanza",66,"cube_lg",16,1
"17524",2,2,"Mankanza",62,"cash_sm",5,2
"17524",2,2,"Mankanza",54,"duiker_lg",12,1
"17524",2,2,"Mankanza",19,"biscuit_sm",17,3
"17524",2,2,"Mankanza",55,"fish_lg",14,1
"17524",2,2,"Mankanza",69,"bread_lg",2,1
"17524",2,2,"Mankanza",48,"mangbele_sm",7,2
"17524",2,2,"Mankanza",63,"cash_lg",6,2
"17524",2,2,"Mankanza",53,"duiker_sm",11,2
"17524",2,2,"Mankanza",65,"cube_sm",15,3
"17524",2,2,"Mankanza",51,"honey_lg",10,2
"17524",2,2,"Mankanza",49,"mangbele_lg",8,2
"17524",2,2,"Mankanza",57,"biscuit_lg",18,1
"17524",2,2,"Mankanza",59,"sardines_sm",3,2
"17524",2,2,"Mankanza",60,"sardines_lg",4,1
"82956",2,1,"Mankanza",54,"duiker_lg",12,1
"82956",2,1,"Mankanza",68,"bread_sm",1,1
"82956",2,1,"Mankanza",55,"fish_lg",14,1
"82956",2,1,"Mankanza",19,"biscuit_sm",17,3
"82956",2,1,"Mankanza",62,"cash_sm",5,2
"82956",2,1,"Mankanza",66,"cube_lg",16,2
"82956",2,1,"Mankanza",20,"honey_sm",9,2
"82956",2,1,"Mankanza",57,"biscuit_lg",18,2
"82956",2,1,"Mankanza",51,"honey_lg",10,1
"82956",2,1,"Mankanza",65,"cube_sm",15,3
"82956",2,1,"Mankanza",53,"duiker_sm",11,1
"82956",2,1,"Mankanza",60,"sardines_lg",4,1
"82956",2,1,"Mankanza",49,"mangbele_lg",8,1
"82956",2,1,"Mankanza",59,"sardines_sm",3,1
"82956",2,1,"Mankanza",63,"cash_lg",6,2
"82956",2,1,"Mankanza",10,"fish_sm",13,2
"82956",2,1,"Mankanza",48,"mangbele_sm",7,2
"82956",2,1,"Mankanza",69,"bread_lg",2,2
"78610",2,1,"Mankanza",48,"mangbele_sm",7,3
"78610",2,1,"Mankanza",53,"duiker_sm",11,2
"78610",2,1,"Mankanza",54,"duiker_lg",12,1
"78610",2,1,"Mankanza",10,"fish_sm",13,3
"78610",2,1,"Mankanza",57,"biscuit_lg",18,2
"78610",2,1,"Mankanza",68,"bread_sm",1,2
"78610",2,1,"Mankanza",60,"sardines_lg",4,2
"78610",2,1,"Mankanza",59,"sardines_sm",3,3
"78610",2,1,"Mankanza",63,"cash_lg",6,3
"78610",2,1,"Mankanza",69,"bread_lg",2,1
"78610",2,1,"Mankanza",66,"cube_lg",16,2
"78610",2,1,"Mankanza",55,"fish_lg",14,2
"78610",2,1,"Mankanza",49,"mangbele_lg",8,2
"78610",2,1,"Mankanza",20,"honey_sm",9,2
"78610",2,1,"Mankanza",62,"cash_sm",5,3
"78610",2,1,"Mankanza",65,"cube_sm",15,2
"78610",2,1,"Mankanza",19,"biscuit_sm",17,2
